Date,Open,High,Low,Close,Volume
07/14/2020,"349.13","355.92","349.00","355.66","1,651,882"
07/13/2020,"353.60","357.02","348.60","353.06","2,031,471"
07/10/2020,"342.33","349.33","341.66","349.25","1,514,159"
07/09/2020,"348.00","349.49","339.18","339.96","1,823,849"
07/08/2020,"353.50","357.30","348.63","350.23","1,965,068"
07/07/2020,"362.59","362.92","352.78","353.27","1,395,868"
07/06/2020,"366.48","367.12","360.84","362.59","1,202,394"
07/02/2020,"363.53","366.07","360.69","362.00","1,395,968"
07/01/2020,"366.34","368.29","360.31","360.42","1,430,254"
06/30/2020,"365.35","367.25","362.41","364.92","1,482,412"
